    Item       #   Sales    Cost Revenue
       1       5   40.00   17.50   22.50
       2       1    8.00    3.50    4.50
       3       2   10.00    3.00    7.00
       4       4   20.00    6.00   14.00
       5       3   15.00    4.50   10.50
       6       5   25.00    7.50   17.50
       7       4   10.00    2.00    8.00
       8       4   10.00    2.40    7.60
       9       4   10.00    2.80    7.20
      10       4   14.00    4.00   10.00
      11       1    3.50    1.10    2.40
      12       4   14.00    4.80    9.20
      13       5   17.50    6.00   11.50
      14       1    3.00    0.50    2.50
      15       3    9.00    1.80    7.20
      16       1    3.00    0.70    2.30
      17       4   16.00    4.00   12.00
      18       3   12.00    3.30    8.70
      19       4   16.00    4.80   11.20
      20       2   17.00    5.00   12.00
      21       2   17.00    5.00   12.00
      22       4   34.00   10.00   24.00
      23       2   17.00    5.00   12.00
      24       6   51.00   15.00   36.00
      25       5   47.50   13.50   34.00
      26       0    0.00    0.00    0.00
      27       3   28.50    8.10   20.40
      28       4   38.00   10.80   27.20
      29       2   19.00    5.40   13.60
      30       5   47.50   14.50   33.00
      31       3   24.00   10.50   13.50
      32       3   24.00   10.50   13.50
      33       2   10.00    3.00    7.00
      34       3   15.00    4.50   10.50
      35       2   10.00    3.00    7.00
      36       2   10.00    3.00    7.00
      37       4   24.00    7.00   17.00
      38       4   24.00    7.00   17.00
      39       4   24.00    7.00   17.00
      40       2   15.00    3.00   12.00
      41       4   30.00    6.00   24.00
      42       8   60.00   12.00   48.00
      43       4   30.00    6.00   24.00
      44       1    7.50    1.50    6.00
      45       3   28.50    8.70   19.80
      46       5   47.50   14.50   33.00
      47       2   19.00    5.80   13.20
      48       3   28.50    8.70   19.80
      49       2   19.00    5.80   13.20
      50       1    7.50    1.50    6.00
